타임스탬프,1.  본인의 성별,2. 결과 연예인의 성별,개발 경험이 있으신가요?,3. 전반적인 만족도,3-1. 불만족 하셨다면 그 이유가 무엇인가요?,4. 서비스 속도는 어떠셨나요?,5. 닮은 꼴 배우 결과가 사용자와 비슷하다 느끼셨나요?,6. 닮은 배우의 화장을 입힌 결과가 화장을 입히기 전과 비교했을 때 어떠신가요?,7. 추가되었으면 하는 연예인 목록(최대 2개),서비스 관련해서 자유롭게 의견을 적어주세요 :)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2022. 6. 9 오전 2:38:09,남성,남성,아니오,5,,5,5,배우와 더 닮아보인다.,더 많은드라마 배우,
2022. 6. 9 오전 3:10:38,남성,남성,네,4,,4,4,배우와 더 닮아보인다.,아이돌,
2022. 6. 9 오전 3:20:32,남성,여성,네,5,,5,5,배우와 더 닮아보인다.,해외 배우,
2022. 6. 9 오전 5:57:46,남성,남성,아니오,3,배우와 닮지 않아 보임,3,3,더 이상하다.,"개그맨, 해외 배우",
2022. 6. 9 오전 6:40:17,여성,여성,아니오,3,한명만 결과로 나오고 화장도 하나의 결과이다 보니 약간 아쉽다,5,4,배우와 더 닮아보인다.,"아이돌, 해외 배우",어떤 후보군이 있었는지 후보군을 알 수 있었다면 조금 더 납득하기 좋을 것 같다 또는 다른 사람의 결과의 통계보기 같은게 있으면 조금 더 즐길 거리가 될 것 같다
2022. 6. 9 오전 7:01:33,남성,남성,아니오,5,,5,5,배우와 더 닮아보인다.,"유튜버, 더 많은드라마 배우",재밌어요♡♡
2022. 6. 9 오전 7:26:01,여성,여성,아니오,4,메이크업 후 얼굴이 못생김,4,5,배우와 더 닮아보인다.,"해외 배우, 유튜버",
2022. 6. 9 오전 7:29:23,남성,남성,아니오,3,,4,3,차이가 없다.,"개그맨, 유튜버",
2022. 6. 9 오전 7:47:21,남성,남성,아니오,5,배우와 닮지 않아 보임,5,5,배우와 더 닮아보인다.,아이돌,간단하게 재미로 하기 좋았어요!
2022. 6. 9 오전 7:47:38,남성,남성,아니오,5,만족함,4,3,배우와 더 닮아보인다.,"아이돌, 해외 배우",
2022. 6. 9 오전 8:15:51,여성,여성,아니오,4,,4,4,배우와 더 닮아보인다.,해외 배우,
2022. 6. 9 오전 8:31:00,여성,여성,아니오,4,메이크업 적용이 부자연스러움,5,4,더 이상하다.,"해외 배우, 더 많은드라마 배우",
2022. 6. 9 오전 9:06:09,남성,남성,네,5,설문지에 오타있어요 3 - 1 사용시 에러가 방생,4,2,차이가 없다.,"아이돌, 해외 배우",메이크업까지 적용한 결과 화면에서 메이크업 한 얼굴 / 배우의 얼굴 순서 바꾸는건 어떨까요
2022. 6. 9 오전 10:37:10,남성,남성,아니오,5,매우 만족,5,5,차이가 없다.,유튜버,잘만들었네요
